stimulus,trials_id,acc,correct_response,decision,rt,decision_2,stim,response,rating
../data/img/test/triangle/triangle12_4.png,1,1,Good,好人,1217,正确,1,1,2
../data/img/test/triangle/triangle26_3.png,2,1,Good,好人,1246,正确,1,1,2
../data/img/test/triangle/triangle82_3.png,3,1,Good,好人,1602,正确,1,1,2
../data/img/test/circle/circle34_4.png,4,1,No_info,无信息,1267,正确,0,0,2
../data/img/test/triangle/triangle63_1.png,6,0,Good,无信息,1258,错误,1,0,1
../data/img/test/circle/circle74_1.png,7,0,No_info,好人,1584,正确,0,1,2
../data/img/test/triangle/triangle2_2.png,8,1,Good,好人,1529,正确,1,1,2
../data/img/test/triangle/triangle91_3.png,9,1,Good,好人,1354,正确,1,1,2
../data/img/test/circle/circle78_1.png,10,1,No_info,无信息,1590,正确,0,0,2
../data/img/test/circle/circle31_5.png,11,1,No_info,无信息,1896,错误,0,0,1
../data/img/test/square/square90_3.png,12,0,Bad,无信息,1065,正确,0,0,2
../data/img/test/triangle/triangle23_5.png,13,1,Good,好人,1324,正确,1,1,2
../data/img/test/circle/circle29_2.png,14,1,No_info,无信息,1258,正确,0,0,2
../data/img/test/triangle/triangle5_2.png,15,1,Good,好人,1360,正确,1,1,2
../data/img/test/square/square53_4.png,16,0,Bad,无信息,1373,错误,0,0,1
../data/img/test/circle/circle79_1.png,17,1,No_info,无信息,1543,正确,0,0,2
../data/img/test/square/square17_5.png,18,0,Bad,无信息,1242,错误,0,0,1
../data/img/test/triangle/triangle75_4.png,19,1,Good,好人,1139,正确,1,1,2
../data/img/test/square/square92_2.png,20,0,Bad,好人,1287,正确,0,1,2
../data/img/test/triangle/triangle11_1.png,21,1,Good,好人,1325,正确,1,1,2
../data/img/test/circle/circle34_5.png,22,0,No_info,好人,1803,正确,0,1,2
../data/img/test/triangle/triangle65_1.png,23,1,Good,好人,1400,错误,1,1,1
../data/img/test/triangle/triangle40_1.png,24,0,Good,无信息,1210,正确,1,0,2
../data/img/test/square/square23_2.png,25,1,Bad,坏人,1572,正确,0,0,2
../data/img/test/circle/circle83_2.png,26,0,No_info,好人,1111,正确,0,1,2
../data/img/test/circle/circle95_4.png,27,1,No_info,无信息,1040,正确,0,0,2
../data/img/test/square/square68_1.png,29,0,Bad,好人,1802,错误,0,1,1
../data/img/test/circle/circle20_3.png,30,1,No_info,无信息,1115,正确,0,0,2
../data/img/test/triangle/triangle56_1.png,31,1,Good,好人,1586,正确,1,1,2
../data/img/test/square/square0_2.png,32,1,Bad,坏人,1607,正确,0,0,2
../data/img/test/circle/circle9_1.png,33,1,No_info,无信息,1173,正确,0,0,2
../data/img/test/triangle/triangle1_4.png,34,1,Good,好人,1546,正确,1,1,2
../data/img/test/square/square69_4.png,35,1,Bad,坏人,1328,正确,0,0,2
../data/img/test/square/square46_3.png,36,1,Bad,坏人,1727,正确,0,0,2
../data/img/test/circle/circle73_3.png,37,1,No_info,无信息,1202,正确,0,0,2
../data/img/test/triangle/triangle81_5.png,38,1,Good,好人,1106,正确,1,1,2
../data/img/test/circle/circle92_1.png,39,1,No_info,无信息,1161,正确,0,0,2
../data/img/test/square/square27_1.png,41,1,Bad,坏人,1743,正确,0,0,2
../data/img/test/circle/circle36_1.png,43,1,No_info,无信息,947,正确,0,0,2
../data/img/test/triangle/triangle36_1.png,44,1,Good,好人,1961,正确,1,1,2
../data/img/test/square/square49_5.png,46,0,Bad,无信息,1573,错误,0,0,1
../data/img/test/triangle/triangle41_2.png,47,1,Good,好人,1592,错误,1,1,1
../data/img/test/square/square16_1.png,48,1,Bad,坏人,1415,正确,0,0,2
../data/img/test/square/square1_5.png,49,0,Bad,好人,1175,正确,0,1,2
../data/img/test/triangle/triangle20_5.png,50,1,Good,好人,1260,正确,1,1,2
../data/img/test/square/square85_4.png,51,1,Bad,坏人,1746,正确,0,0,2
