,response,stim,acc,confidence
0,1,0,0,0
1,0,0,1,1
2,0,0,0,1
3,0,0,1,1
4,0,0,1,1
5,1,1,1,1
6,1,0,0,1
7,1,1,1,1
8,1,1,1,1
9,0,1,0,1
10,1,1,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,1,1,1,1
16,0,0,1,1
17,1,1,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,1,0,0,1
22,1,0,0,1
23,1,1,1,1
24,1,0,0,1
25,1,1,1,1
26,1,0,0,0
27,1,1,1,1
28,1,1,1,1
29,0,0,1,1
30,0,0,1,1
31,0,1,0,1
32,0,0,1,1
33,0,0,0,1
34,1,0,0,1
35,0,0,0,1
36,0,0,1,1
37,1,1,1,1
38,0,0,1,1
39,0,1,0,0
40,0,1,0,1
41,0,0,0,1
42,1,1,1,1
43,0,0,1,0
44,1,1,1,1
45,1,1,1,1
46,0,0,1,1
47,0,0,1,1
48,0,0,1,1
49,0,0,1,0
50,0,0,0,0
51,0,0,0,0
52,1,1,1,1
53,1,0,0,1
54,1,0,0,1
55,0,0,1,1
56,0,0,1,1
57,0,0,1,1
58,1,0,0,1
59,0,0,0,1
60,0,0,0,0
61,0,0,1,1
62,0,0,1,1
63,1,1,1,1
64,1,1,1,1
65,0,0,1,1
66,0,0,0,1
67,0,1,0,1
68,0,0,1,1
69,0,1,0,1
70,1,0,0,1
71,0,0,1,1
72,0,0,0,1
73,1,1,1,1
74,0,0,1,1
75,0,0,1,1
76,0,0,1,0
77,0,0,0,1
78,0,0,1,1
79,0,0,0,0
80,1,1,1,1
81,1,1,1,1
82,0,1,0,1
83,0,0,1,1
84,0,1,0,1
85,0,1,0,1
86,1,1,1,1
87,0,0,1,1
88,0,0,1,1
89,0,0,1,0
90,0,0,1,1
91,1,1,1,1
92,1,1,1,1
93,0,0,1,1
94,0,0,0,1
95,0,0,1,1
96,0,0,1,1
97,0,0,1,1
98,0,0,1,1
99,0,1,0,1
100,0,0,1,1
101,0,1,0,0
102,1,0,0,0
103,0,1,0,1
104,0,0,0,0
105,1,0,0,1
106,0,0,1,1
107,0,0,0,1
108,1,1,1,1
109,0,1,0,0
110,0,0,0,0
111,1,1,1,1
112,1,1,1,1
113,0,0,1,1
114,0,0,0,1
115,1,1,1,1
116,0,0,1,1
117,0,1,0,1
118,1,1,1,1
119,1,1,1,0
120,1,1,1,1
121,0,0,1,1
122,0,0,1,1
123,1,1,1,0
124,0,0,1,1
125,0,1,0,0
126,1,0,0,1
127,1,1,1,0
128,0,0,1,1
129,1,1,1,1
130,0,0,0,0
131,1,0,0,1
132,0,0,1,1
133,1,0,0,1
134,1,1,1,1
135,1,1,1,0
136,1,1,1,1
137,1,1,1,1
138,0,0,1,1
139,0,0,1,0
140,0,1,0,1
141,1,0,0,1
142,0,0,1,1
143,1,0,0,1
144,0,1,0,1
145,1,1,1,1
146,0,1,0,0
147,0,0,0,1
148,0,0,1,0
149,0,0,1,1
150,0,0,1,1
151,0,0,1,0
152,1,1,1,1
153,0,0,1,1
154,0,0,0,1
155,0,0,0,1
156,1,1,1,1
157,0,1,0,0
158,0,0,1,1
159,1,1,1,1
160,1,1,1,1
161,1,1,1,1
162,1,0,0,1
163,0,0,1,0
164,0,0,0,1
165,0,0,1,0
166,0,0,1,1
167,1,1,1,1
168,0,0,1,1
169,1,0,0,1
170,1,0,0,1
171,1,1,1,1
172,0,0,1,1
173,0,0,1,0
174,0,0,1,0
175,1,0,0,1
176,0,0,1,1
177,0,0,0,0
178,1,1,1,1
179,0,0,0,1
180,0,0,1,1
181,0,0,1,1
182,0,0,1,1
183,1,0,0,0
184,1,0,0,0
185,0,0,0,1
186,0,0,1,1
187,0,0,1,1
188,0,0,1,1
189,0,0,0,0
190,0,0,1,0
191,1,1,1,1
192,1,0,0,1
193,1,0,0,1
194,1,0,0,1
195,0,1,0,1
196,0,0,1,1
197,0,0,1,1
198,0,0,1,0
199,1,1,1,1
200,1,1,1,1
201,0,0,0,0
202,0,0,1,1
203,0,0,1,1
204,0,0,0,0
205,0,0,1,0
206,0,1,0,1
207,0,1,0,1
208,1,1,1,1
209,1,1,1,1
210,0,1,0,0
211,0,0,0,1
212,0,0,1,1
213,0,0,1,1
214,0,0,1,0
215,0,0,1,1
216,0,0,0,1
217,0,0,1,1
218,0,0,1,1
219,1,0,0,1
220,0,0,0,0
221,1,0,0,1
222,0,0,1,1
223,0,0,1,1
224,0,1,0,1
225,1,1,1,1
226,0,0,1,1
227,1,0,0,1
228,1,1,1,1
229,0,0,1,1
230,0,0,1,1
231,1,1,1,1
232,0,0,1,1
233,0,1,0,0
234,0,1,0,0
235,0,0,1,0
236,1,0,0,0
237,0,0,1,1
238,0,0,1,1
239,1,1,1,1
240,0,0,1,1
241,1,0,0,0
242,1,0,0,0
243,1,1,1,1
244,0,0,0,1
245,1,1,1,1
246,0,1,0,1
247,0,0,1,1
248,0,0,0,1
249,0,0,0,0
250,0,0,0,1
251,0,0,0,0
252,0,0,1,1
253,0,0,1,1
254,0,0,1,0
255,1,0,0,1
256,0,0,0,1
257,1,1,1,1
258,1,1,1,1
259,0,0,1,1
260,0,0,1,1
261,0,0,1,1
262,0,0,1,1
263,1,1,1,1
264,1,1,1,1
265,0,0,1,1
266,0,0,1,1
267,0,0,1,0
268,0,0,1,1
269,0,0,1,1
270,0,0,1,1
271,0,0,0,1
272,0,0,0,0
273,1,0,0,1
274,0,0,0,1
275,0,0,1,1
276,1,1,1,1
277,1,1,1,1
278,0,0,1,0
279,0,1,0,1
280,0,0,1,0
281,0,0,1,1
282,1,0,0,1
283,1,1,1,1
284,0,0,1,1
285,1,1,1,1
286,1,1,1,1
287,0,0,0,1
288,1,0,0,0
289,0,0,1,1
290,1,1,1,1
291,0,0,1,1
292,0,1,0,1
293,0,0,0,1
294,1,1,1,1
295,1,0,0,1
296,1,1,1,1
297,0,0,1,1
298,0,0,1,0
299,1,1,1,0
300,0,0,0,1
301,0,1,0,0
302,1,1,1,1
303,0,1,0,1
304,0,0,1,1
305,1,1,1,1
306,0,0,1,0
307,1,1,1,1
308,0,0,0,0
309,1,1,1,1
310,1,1,1,1
311,0,0,1,1
