"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","exp_type","correct_response","acc","decision","record_acc","decision_2"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0-0.0","","","","","","","","",""
"","","","","","html-keyboard-response","1","2078","0.0-0.0-1.0","2076","<p style =' color : white'>hhhhhhhhhh</p>","j","","","","","",""
"","","","","","html-keyboard-response","2","2587","0.0-0.0-2.0-1.0","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","3","2795","0.0-0.0-2.0-2.0","null","../data/img/test/circle/circle30_2.png","null","practice","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","4","4075","0.0-0.0-2.0-3.0","1279","<p> </p>","k","practice","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","5","5503","0.0-0.0-2.0-4.0","1428","<p style =' color : white'>你认为刚才你的判断是?</p>","d","practice","","","","no","错误"
"","","","","","html-keyboard-response","6","6013","0.0-0.0-2.0-5.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","7","6521","0.0-0.0-2.0-1.1","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","8","6731","0.0-0.0-2.0-2.1","null","../data/img/test/circle/circle41_4.png","null","practice","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","9","8588","0.0-0.0-2.0-3.1","1856","<p> </p>","l","practice","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","10","10142","0.0-0.0-2.0-4.1","1553","<p style =' color : white'>你认为刚才你的判断是?</p>","a","practice","","","","no","正确"
"","","","","","html-keyboard-response","11","10649","0.0-0.0-2.0-5.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","12","11154","0.0-0.0-2.0-1.2","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","13","11364","0.0-0.0-2.0-2.2","null","../data/img/test/square/square99_2.png","null","practice","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","14","13241","0.0-0.0-2.0-3.2","1876","<p> </p>","k","practice","Bad","0","好人","yes",""
"","","","","","html-keyboard-response","15","14263","0.0-0.0-2.0-4.2","1022","<p style =' color : white'>你认为刚才你的判断是?</p>","d","practice","","","","no","错误"
"","","","","","html-keyboard-response","16","14771","0.0-0.0-2.0-5.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","17","15285","0.0-0.0-2.0-1.3","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","18","15493","0.0-0.0-2.0-2.3","null","../data/img/test/square/square51_3.png","null","practice","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","19","16876","0.0-0.0-2.0-3.3","1382","<p> </p>","j","practice","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","20","18172","0.0-0.0-2.0-4.3","1295","<p style =' color : white'>你认为刚才你的判断是?</p>","a","practice","","","","no","正确"
"","","","","","html-keyboard-response","21","18674","0.0-0.0-2.0-5.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","22","19180","0.0-0.0-2.0-1.4","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","23","19388","0.0-0.0-2.0-2.4","null","../data/img/test/triangle/triangle27_4.png","null","practice","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","24","20892","0.0-0.0-2.0-3.4","1503","<p> </p>","l","practice","Good","1","好人","yes",""
"","","","","","html-keyboard-response","25","22194","0.0-0.0-2.0-4.4","1302","<p style =' color : white'>你认为刚才你的判断是?</p>","a","practice","","","","no","正确"
"","","","","","html-keyboard-response","26","22701","0.0-0.0-2.0-5.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","27","23213","0.0-0.0-2.0-1.5","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","28","23420","0.0-0.0-2.0-2.5","null","../data/img/test/triangle/triangle97_3.png","null","practice","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","29","25005","0.0-0.0-2.0-3.5","1584","<p> </p>","k","practice","Good","1","好人","yes",""
"","","","","","html-keyboard-response","30","26349","0.0-0.0-2.0-4.5","1343","<p style =' color : white'>你认为刚才你的判断是?</p>","a","practice","","","","no","正确"
"","","","","","html-keyboard-response","31","26860","0.0-0.0-2.0-5.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","32","27368","0.0-0.0-2.0-1.6","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","33","27576","0.0-0.0-2.0-2.6","null","../data/img/test/square/square61_2.png","null","practice","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","34","28996","0.0-0.0-2.0-3.6","1418","<p> </p>","j","practice","Bad","0","无信息","yes",""
"","","","","","html-keyboard-response","35","30126","0.0-0.0-2.0-4.6","1130","<p style =' color : white'>你认为刚才你的判断是?</p>","d","practice","","","","no","错误"
"","","","","","html-keyboard-response","36","30637","0.0-0.0-2.0-5.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","37","31149","0.0-0.0-2.0-1.7","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","38","31354","0.0-0.0-2.0-2.7","null","../data/img/test/circle/circle27_5.png","null","practice","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","39","32955","0.0-0.0-2.0-3.7","1600","<p> </p>","l","practice","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","40","34293","0.0-0.0-2.0-4.7","1337","<p style =' color : white'>你认为刚才你的判断是?</p>","d","practice","","","","no","正确"
"","","","","","html-keyboard-response","41","34804","0.0-0.0-2.0-5.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","42","35317","0.0-0.0-2.0-1.8","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","43","35520","0.0-0.0-2.0-2.8","null","../data/img/test/triangle/triangle17_5.png","null","practice","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","44","37533","0.0-0.0-2.0-3.8","null","<p> </p>","null","practice","Good","0","","yes",""
"","","","","","html-keyboard-response","45","39537","0.0-0.0-2.0-4.8","null","<p style =' color : white'>你认为刚才你的判断是?</p>","null","practice","","","","no",""
"","","","","","html-keyboard-response","46","40044","0.0-0.0-2.0-5.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","47","40553","0.0-0.0-2.0-1.9","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","48","40761","0.0-0.0-2.0-2.9","null","../data/img/test/triangle/triangle58_1.png","null","practice","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","49","41783","0.0-0.0-2.0-3.9","1022","<p> </p>","l","practice","Good","1","好人","yes",""
"","","","","","html-keyboard-response","50","43490","0.0-0.0-2.0-4.9","1706","<p style =' color : white'>你认为刚才你的判断是?</p>","d","practice","","","","no","错误"
"","","","","","html-keyboard-response","51","43997","0.0-0.0-2.0-5.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","practice","","","","",""
"","","","","","html-keyboard-response","52","44504","0.0-0.0-2.0-1.10","null","<div style=""font-size:60px; color: white"">+</div>","null","practice","","","","",""
"","","","","","image-keyboard-response","53","44716","0.0-0.0-2.0-2.10","null","../data/img/test/circle/circle36_1.png","null","practice","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","54","46080","0.0-0.0-2.0-3.10","1364","<p> </p>","l","practice","No_info","1","无信息","yes",""
