stimulus,trials_id,acc,correct_response,decision,rt,decision_2,rt_type2,stim,response,rating
../data/img/sub_test/triangle/triangle13-0.65_1.png,1,1,Good,好人,1451,正确,1036,1,1,2
../data/img/sub_test/square/square48-0.65_5.png,2,0,Bad,好人,964,正确,933,0,1,2
../data/img/sub_test/square/square69-0.65_5.png,3,1,Bad,坏人,1270,正确,843,0,0,2
../data/img/sub_test/triangle/triangle5-0.65_4.png,4,0,Good,常人,1041,错误,1067,1,0,1
../data/img/sub_test/square/square69-0.65_4.png,5,0,Bad,常人,1206,正确,787,0,0,2
../data/img/sub_test/circle/circle84-0.65_3.png,6,0,No_info,坏人,1106,错误,1022,0,0,1
../data/img/sub_test/circle/circle34-0.65_2.png,7,0,No_info,坏人,1169,错误,1360,0,0,1
../data/img/sub_test/triangle/triangle91-0.65_5.png,8,1,Good,好人,1004,正确,696,1,1,2
../data/img/sub_test/square/square15-0.65_3.png,9,0,Bad,常人,964,错误,967,0,0,1
../data/img/sub_test/triangle/triangle66-0.65_3.png,10,1,Good,好人,1016,正确,1182,1,1,2
../data/img/sub_test/square/square43-0.65_4.png,12,0,Bad,常人,1219,错误,1147,0,0,1
../data/img/sub_test/square/square32-0.65_5.png,13,1,Bad,坏人,1152,正确,1105,0,0,2
../data/img/sub_test/circle/circle97-0.65_2.png,14,1,No_info,常人,1153,错误,1316,0,0,1
../data/img/sub_test/square/square64-0.65_5.png,15,1,Bad,坏人,1401,正确,959,0,0,2
../data/img/sub_test/circle/circle60-0.65_1.png,16,1,No_info,常人,1391,正确,887,0,0,2
../data/img/sub_test/circle/circle84-0.65_5.png,17,1,No_info,常人,1341,正确,866,0,0,2
../data/img/sub_test/square/square91-0.65_3.png,18,1,Bad,坏人,1316,正确,899,0,0,2
../data/img/sub_test/triangle/triangle24-0.65_3.png,19,1,Good,好人,1127,正确,1101,1,1,2
../data/img/sub_test/circle/circle48-0.65_3.png,20,1,No_info,常人,962,正确,966,0,0,2
../data/img/sub_test/triangle/triangle93-0.65_5.png,21,0,Good,常人,1064,正确,943,1,0,2
../data/img/sub_test/triangle/triangle40-0.65_1.png,22,1,Good,好人,1248,正确,1091,1,1,2
../data/img/sub_test/triangle/triangle75-0.65_1.png,23,1,Good,好人,1412,正确,965,1,1,2
../data/img/sub_test/square/square51-0.65_2.png,25,1,Bad,坏人,856,正确,932,0,0,2
../data/img/sub_test/circle/circle37-0.65_2.png,27,0,No_info,好人,970,错误,1045,0,1,1
../data/img/sub_test/square/square14-0.65_2.png,29,1,Bad,坏人,1121,正确,831,0,0,2
../data/img/sub_test/circle/circle55-0.65_5.png,30,1,No_info,常人,1169,正确,978,0,0,2
../data/img/sub_test/square/square0-0.65_3.png,31,0,Bad,常人,1155,正确,1214,0,0,2
../data/img/sub_test/triangle/triangle86-0.65_1.png,32,1,Good,好人,1038,正确,1317,1,1,2
../data/img/sub_test/triangle/triangle22-0.65_2.png,33,1,Good,好人,1078,正确,866,1,1,2
../data/img/sub_test/square/square84-0.65_3.png,34,1,Bad,坏人,1092,正确,985,0,0,2
../data/img/sub_test/circle/circle96-0.65_2.png,35,1,No_info,常人,1464,正确,787,0,0,2
../data/img/sub_test/circle/circle18-0.65_4.png,36,0,No_info,坏人,1339,错误,1282,0,0,1
../data/img/sub_test/circle/circle26-0.65_1.png,37,1,No_info,常人,1494,正确,944,0,0,2
../data/img/sub_test/triangle/triangle82-0.65_4.png,39,0,Good,坏人,807,错误,1261,1,0,1
../data/img/sub_test/circle/circle58-0.65_5.png,40,1,No_info,常人,1434,错误,1046,0,0,1
../data/img/sub_test/square/square56-0.65_3.png,41,0,Bad,好人,916,正确,775,0,1,2
../data/img/sub_test/square/square62-0.65_2.png,42,1,Bad,坏人,937,错误,1045,0,0,1
../data/img/sub_test/triangle/triangle1-0.65_1.png,43,1,Good,好人,1215,正确,1057,1,1,2
../data/img/sub_test/triangle/triangle66-0.65_1.png,45,1,Good,好人,1063,正确,798,1,1,2
../data/img/sub_test/square/square2-0.65_5.png,46,0,Bad,常人,1288,错误,1057,0,0,1
../data/img/sub_test/square/square55-0.65_4.png,47,1,Bad,坏人,1427,正确,1274,0,0,2
../data/img/sub_test/circle/circle47-0.65_3.png,48,1,No_info,常人,985,正确,1103,0,0,2
../data/img/sub_test/circle/circle80-0.65_2.png,50,0,No_info,坏人,796,错误,972,0,0,1
../data/img/sub_test/circle/circle97-0.65_1.png,51,1,No_info,常人,1168,正确,1125,0,0,2
../data/img/sub_test/circle/circle1-0.65_2.png,52,1,No_info,常人,1305,错误,1327,0,0,1
../data/img/sub_test/triangle/triangle46-0.65_1.png,53,1,Good,好人,981,正确,888,1,1,2
../data/img/sub_test/triangle/triangle97-0.65_1.png,54,1,Good,好人,875,错误,1218,1,1,1
../data/img/sub_test/triangle/triangle28-0.65_5.png,55,1,Good,好人,1359,正确,730,1,1,2
../data/img/sub_test/circle/circle22-0.65_1.png,57,1,No_info,常人,1086,正确,877,0,0,2
../data/img/sub_test/square/square85-0.65_2.png,58,1,Bad,坏人,1287,正确,932,0,0,2
../data/img/sub_test/circle/circle77-0.65_4.png,60,0,No_info,好人,1216,错误,970,0,1,1
../data/img/sub_test/triangle/triangle41-0.65_2.png,61,1,Good,好人,1113,正确,843,1,1,2
../data/img/sub_test/square/square89-0.65_3.png,62,1,Bad,坏人,1042,正确,1034,0,0,2
../data/img/sub_test/triangle/triangle36-0.65_5.png,63,1,Good,好人,767,错误,968,1,1,1
../data/img/sub_test/square/square62-0.65_5.png,64,1,Bad,坏人,1111,正确,908,0,0,2
../data/img/sub_test/triangle/triangle86-0.65_4.png,65,1,Good,好人,1422,正确,1036,1,1,2
../data/img/sub_test/square/square8-0.65_1.png,66,1,Bad,坏人,1223,正确,833,0,0,2
../data/img/sub_test/square/square50-0.65_3.png,67,1,Bad,坏人,1306,正确,1316,0,0,2
../data/img/sub_test/square/square98-0.65_5.png,68,0,Bad,常人,1100,错误,989,0,0,1
../data/img/sub_test/triangle/triangle3-0.65_2.png,70,1,Good,好人,1482,正确,967,1,1,2
../data/img/sub_test/triangle/triangle0-0.65_1.png,71,0,Good,常人,800,正确,789,1,0,2
../data/img/sub_test/circle/circle78-0.65_5.png,72,0,No_info,好人,740,正确,781,0,1,2
../data/img/sub_test/square/square6-0.65_4.png,73,0,Bad,好人,1445,正确,670,0,1,2
../data/img/sub_test/square/square57-0.65_3.png,74,0,Bad,常人,1412,错误,1024,0,0,1
../data/img/sub_test/circle/circle86-0.65_2.png,76,1,No_info,常人,1204,正确,708,0,0,2
../data/img/sub_test/circle/circle35-0.65_5.png,77,0,No_info,坏人,1082,正确,1193,0,0,2
../data/img/sub_test/circle/circle49-0.65_2.png,78,1,No_info,常人,1160,正确,854,0,0,2
../data/img/sub_test/circle/circle14-0.65_3.png,79,1,No_info,常人,1196,错误,932,0,0,1
../data/img/sub_test/circle/circle74-0.65_2.png,80,0,No_info,坏人,1259,错误,1259,0,0,1
../data/img/sub_test/triangle/triangle54-0.65_4.png,81,1,Good,好人,1187,正确,888,1,1,2
../data/img/sub_test/triangle/triangle69-0.65_1.png,82,1,Good,好人,1100,正确,800,1,1,2
../data/img/sub_test/triangle/triangle12-0.65_2.png,83,1,Good,好人,971,正确,925,1,1,2
../data/img/sub_test/circle/circle93-0.65_2.png,84,1,No_info,常人,855,正确,751,0,0,2
../data/img/sub_test/triangle/triangle11-0.65_1.png,85,1,Good,好人,1204,正确,1000,1,1,2
../data/img/sub_test/circle/circle93-0.65_4.png,86,0,No_info,好人,1174,正确,1129,0,1,2
../data/img/sub_test/square/square50-0.65_1.png,88,1,Bad,坏人,1025,错误,1012,0,0,1
../data/img/sub_test/circle/circle86-0.65_1.png,89,1,No_info,常人,1231,正确,1136,0,0,2
../data/img/sub_test/square/square57-0.65_2.png,90,1,Bad,坏人,1439,正确,831,0,0,2
../data/img/sub_test/triangle/triangle45-0.65_5.png,91,1,Good,好人,1180,错误,943,1,1,1
../data/img/sub_test/square/square73-0.65_5.png,92,1,Bad,坏人,1333,正确,978,0,0,2
../data/img/sub_test/square/square50-0.65_5.png,93,0,Bad,常人,1339,正确,1071,0,0,2
